symbol,listing_date,first_trade_date,delta_days,status
SLBBLP,2016-01-11,2016-07-28,199,SUSPICIOUS_LARGE_GAP
SLBS,2017-01-01,2017-02-08,38,OK
SLBSL,2019-01-20,2019-01-21,1,OK
SLBSLPO,2019-01-20,,,NO_PRICE_HISTORY
SLBSP,2020-11-09,2020-11-12,3,OK
SLCF,2021-02-23,2021-02-25,2,OK
SLFL,2010-11-17,2011-03-20,123,SUSPICIOUS_LARGE_GAP
SMATA,2017-06-01,2017-07-26,55,OK
SMATAP,2017-06-01,2022-06-21,1846,SUSPICIOUS_LARGE_GAP
SMB,2018-02-15,2018-04-05,49,OK
SMBPO,2018-02-15,2022-04-13,1518,SUSPICIOUS_LARGE_GAP
SMF,2010-11-07,2011-03-20,133,SUSPICIOUS_LARGE_GAP
SMFBS,2019-06-10,2019-06-17,7,OK
SMFBSP,2019-06-10,2023-05-09,1429,SUSPICIOUS_LARGE_GAP
SMFDB,2012-07-18,2012-07-19,1,OK
SMFDBP,2015-04-20,2016-10-24,553,SUSPICIOUS_LARGE_GAP
SMH,2023-03-20,2023-03-27,7,OK
SMHL,2023-03-03,2023-03-05,2,OK
SMJC,2023-04-12,2023-04-13,1,OK
SMPDA,2020-08-05,2024-08-18,1474,SUSPICIOUS_LARGE_GAP
SMPDAP,2020-08-05,2025-02-17,1657,SUSPICIOUS_LARGE_GAP
SNLI,2023-09-19,2023-09-21,2,OK
SNMAPO,2009-12-06,2012-04-24,870,SUSPICIOUS_LARGE_GAP
SODBL,2007-10-01,2011-12-01,1522,SUSPICIOUS_LARGE_GAP
SONA,2023-10-19,2023-10-29,10,OK
SPARS,2019-04-21,2019-05-07,16,OK
SPC,2021-11-24,2021-11-25,1,OK
SPDL,2017-05-16,2017-05-17,1,OK
SPDPL,2026-04-09,,,NO_PRICE_HISTORY
SPHL,2022-10-13,2022-10-17,4,OK
SPIL,2023-04-03,2023-04-04,1,OK
SPILPO,2015-12-31,2023-04-04,2651,SUSPICIOUS_LARGE_GAP
SPL,2023-03-03,2023-03-07,4,OK
SRBL,2011-03-20,2011-03-20,0,OK
SRBLPO,2012-12-09,2013-03-21,102,SUSPICIOUS_LARGE_GAP
SRL,-,,,INVALID_LISTING_DATE
SRLI,2021-09-01,2023-05-21,627,SUSPICIOUS_LARGE_GAP
SRLIP,2021-09-01,2025-06-09,1377,SUSPICIOUS_LARGE_GAP
SRS,1999-04-18,2016-09-25,6370,SUSPICIOUS_LARGE_GAP
SSHL,2020-10-22,2020-10-29,7,OK
STC,1985-10-01,2012-02-01,9619,SUSPICIOUS_LARGE_GAP
STFL,2007-07-30,2011-03-20,1329,SUSPICIOUS_LARGE_GAP
STFLPO,2010-09-21,2011-12-07,442,SUSPICIOUS_LARGE_GAP
SUBBL,2009-01-07,2011-03-20,802,SUSPICIOUS_LARGE_GAP
SUBBLP,2013-07-08,2013-07-08,0,OK
SUPRME,2007-08-16,2012-10-09,1881,SUSPICIOUS_LARGE_GAP
SUPRMP,2011-08-08,2013-06-20,682,SUSPICIOUS_LARGE_GAP
SWASTIK,2025-11-10,2025-11-11,1,OK
SWBBL,2007-08-17,2011-03-24,1315,SUSPICIOUS_LARGE_GAP
SWBBLP,2008-11-16,2015-12-02,2572,SUSPICIOUS_LARGE_GAP
SWMF,2015-11-26,2022-05-12,2359,SUSPICIOUS_LARGE_GAP
SWMFPO,2016-01-11,2022-08-22,2415,SUSPICIOUS_LARGE_GAP
SYFL,2007-07-30,2013-09-19,2243,SUSPICIOUS_LARGE_GAP
SYFLPO,2014-11-04,2014-11-04,0,OK
SYPNL,2025-12-09,2025-12-10,1,OK
TAKSAR,-,,,INVALID_LISTING_DATE
TAMOR,2023-04-09,2023-04-10,1,OK
